location,country,continent,lat,lng
Buenos Aires,Argentina,,-34.5997,-58.3819
Vienna,Austria,,48.2083,16.3731
Sydney,Australia,,-33.865,151.2094
Melbourne,Australia,,-37.8136,144.9631
Baku,Azerbaijan,,40.3667,49.8352
Brussels,Belgium,,50.8467,4.3517
Sofia,Bulgaria,,42.6975,23.3241
Burgas,Bulgaria,,42.5,27.4667
Manama,Bahrain,,26.2167,50.5831
Rio de Janeiro,Brazil,,-22.9083,-43.1964
Sao Paulo,Brazil,,23.5505,46.6333
Toronto,Canada,,43.7417,-79.3733
Vancouver,Canada,,49.25,-123.1
Shenzhen,China,,22.535,114.054
Guangzhou,China,,23.1288,113.259
Shanghai,China,,31.1667,121.4667
Beijing,China,,39.905,116.3914
Hangzhou,China,,30.25,120.1675
Zhuhai,China,,22.2769,113.5678
Suzhou,China,,33.6333,116.9683
Guilin,China,,25.2667,110.2833
Nanjing,China,,32.05,118.7667
Prague,Czechia,,50.0833,14.4167
Berlin,Germany,,52.5167,13.3833
Munich,Germany,,48.1372,11.5755
Frankfurt,Germany,,50.1136,8.6797
Cairo,Egypt,,30.0561,31.2394
Barcelona,Spain,,41.3825,2.1769
Madrid,Spain,,40.4189,-3.6919
Paris,France,,48.8566,2.3522
Nice,France,,43.7034,7.2663
Hong Kong,Hong Kong,,22.305,114.185
Budapest,Hungary,,47.4983,19.0408
Denpasar,Indonesia,,-8.6667,115.2167
Jakarta,Indonesia,,-6.2146,106.8451
Dublin,Ireland,,53.3425,-6.2658
Chennai,India,,13.0825,80.275
Mumbai,India,,18.9667,72.8333
Delhi,India,,28.66,77.23
Agra,India,,27.18,78.02
Jaipur,India,,26.9167,75.8667
Kolkata,India,,22.5411,88.3378
Rome,Italy,,41.8931,12.4828
Milan,Italy,,45.4669,9.19
Venice,Italy,,45.4397,12.3319
Florence,Italy,,43.7714,11.2542
Amman,Jordan,,31.95,35.9333
Tokyo,Japan,,35.6897,139.6922
Nairobi,Kenya,,-1.2864,36.8172
Siem Reap,Cambodia,,13.3622,103.8597
Marrakech,Morocco,,31.6295,-7.9811
Mexico City,Mexico,,19.4333,-99.1333
Cancun,Mexico,,21.1606,-86.8475
Kuala Lumpur,Malaysia,,3.1478,101.6953
Amsterdam,Netherlands,,52.35,4.9166
Auckland,New Zealand,,-36.85,174.7833
Christchurch,New Zealand,,-43.5309,172.6365
Lima,Peru,,-12.05,-77.0333
Manila,Philippines,,14.5958,120.9772
Warsaw,Poland,,52.2167,21.0333
Lisbon,Portugal,,38.7452,-9.1604
Doha,Qatar,,25.3,51.5333
Bucharest,Romania,,44.4,26.0833
Mecca,Saudi Arabia,,21.4225,39.8261
Riyadh,Saudi Arabia,,24.65,46.71
Singapore,Singapore,,1.3,103.8
Bangkok,Thailand,,13.75,100.5167
Phuket,Thailand,,7.8881,98.3975
Pattaya,Thailand,,12.9496,100.893
Chiang Mai,Thailand,,18.7889,98.9833
Sousse,Tunisia,,35.83,10.625
Antalya,Turkey,,36.9081,30.6956
Istanbul,Turkey,,41.01,28.9603
Mugla,Turkey,,37.2167,28.3667
Edirne,Turkey,,41.6781,26.5594
New York City,United States,,40.6943,-73.9249
Las Vegas,United States,,36.2333,-115.2654
Miami,United States,,25.7839,-80.2102
Los Angeles,United States,,34.1139,-118.4068
Orlando,United States,,28.4772,-81.3369
San Francisco,United States,,37.7562,-122.443
Honolulu,United States,,21.3294,-157.846
Washington D.C.,United States,,38.9047,-77.0163
Johannesburg,South Africa,,-26.2044,28.0416
Harare,Zimbabwe,,-17.8292,31.0522
London,United Kingdom,,51.5072,-0.1275
